代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％
101,摩根日本(日圓)(香港註冊)(本基金並無保證收益及配息且配息來源可能為本金),穩健型,日圓,日本,國外,股票型,國外-股票型,無,13.84,0.32,1.01,-1.25,-881,411百萬(美元),1969/8/6,2.47,4.49,10.53,0.35,16.84,50.43,47.45,81.95
103,摩根ＪＰＭ亞太入息基金(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,亞太,國外,平衡型,國外-平衡型,年配,7.6,0.3,0.61,0.03,0.01,"1,249百萬(美元)",2001/6/15,2.61,2.28,2.38,2.75,9.27,12.5,1.76,15.06
104,摩根太平洋證券,積極型,美元,亞洲,國外,股票型,國外-股票型,無,12.8,0.25,1.04,-0.78,-3.91,557百萬(美元),1978/5/26,4.13,4.29,1.41,4,11.94,9.7,-6.2,16.27
105,摩根東協基金(美元)(累計),積極型,美元,東協,國外,股票型,國外-股票型,無,15.31,0.21,0.82,-0.49,-0.78,"1,209百萬(美元)",1983/7/7,1.36,-1.65,2.45,0.36,12.15,9.32,2.1,18.48
106,摩根泰國,積極型,美元,泰國,國外,股票型,國外-股票型,無,22.48,0.05,1.23,-1.05,-1.68,184百萬(美元),1989/8/8,-4.65,-10.48,-3.21,-7.62,3.1,-15.47,-17.5,-7.32
134,摩根亞洲小型企業基金,積極型,美元,亞洲,國外,中小型股,國外-中小型股,無,10.52,0.09,0.62,0.15,0.46,159百萬(美元),1991/12/2,-0.25,-0.94,-3.27,-3.06,4.07,8.76,-11.68,38.23
136,摩根ＪＰＭ歐洲基金(本基金之配息來源可能為本金),穩健型,美元,歐洲,國外,股票型,國外-股票型,年配,14.72,0.2,1.03,0.27,0.17,"1,058百萬(美元)",2001/6/1,5.74,9.72,0.96,10.59,10.81,23.16,20.58,45.59
137,摩根南韓基金,積極型,美元,南韓,國外,股票型,國外-股票型,無,18.84,-0.06,1.07,-0.72,-0.5,146百萬(美元),1991/12/11,8.03,6.27,-6.94,16.11,-4.13,1.53,-19,19.09
147,摩根太平洋科技基金,積極型,美元,亞洲,國外,資訊科技股,國外-資訊科技股,無,20.89,0.21,0.9,-1.23,-1.19,660百萬(美元),1997/8/15,8.81,8.66,8.96,9.52,15.81,26.44,-5.2,28.48
151,摩根印度基金,積極型,美元,印度,國外,股票型,國外-股票型,無,11.81,-0.02,1.03,0.63,2.15,661百萬(美元),1989/11/23,-2.87,-5.9,-10.52,-6.6,-0.41,16.24,5.55,30.15
