標題,連結,內文,來源,時間,圖片,is_disaster,國家,地點,災害,event,content,summary,region
印度雨季引發災情 北部山區至少69死110傷,https://money.udn.com/money/story/5599/8851090,"印度當局今天表示，印度北部的喜馬拉雅山區連續逾兩週的暴雨，引發洪水與山崩，已導致至少69人死亡、110人受傷。
法新社報導，印度每年雨季期間，常因暴雨引發洪災與山崩，進而造成傷亡。近日的大雨導致源自冰川的比斯河（Beas）等多條河川暴漲，重創印度北部的喜馬偕爾邦（Himachal Pradesh）交通，多條道路因此癱瘓。
當地的稅務機關在聲明中說，過去兩週內發生多起災害，目前已造成69人罹難、110人受傷。
印度氣象局昨天針對喜馬偕爾邦與鄰近的觀光勝地阿坎德邦（Uttarakhand）發布了新一輪的大雨相關特報，兩地皆位於北部的喜馬拉雅山區，而阿坎德邦對於印度遊客而言是熱門景點。
印度每年雨季從6月持續至9月，雖能緩解高溫並補充水資源，但也會引發災害，造成嚴重傷亡與災損。
雨季期間的降雨，在6月已奪走印度東北部地區至少30條人命，另有數十人受傷。",經濟日報,2025-07-04,,True,印度,"喜馬拉雅山區,喜馬偕爾邦,阿坎德邦,比斯河",暴雨,印度喜馬拉雅山區大雨,印度北部喜馬拉雅山區連續逾兩週的暴雨引發洪水和山崩，已造成至少69人死亡、110人受傷。多條河川如比斯河暴漲，重創喜馬偕爾邦交通，導致道路癱瘓。雨季從6月持續至9月，常帶來嚴重災害，威脅當地居民和基礎設施。,本次災害導致至少69人死亡、110人受傷，影響範圍涵蓋印度北部喜馬拉雅山區的喜馬偕爾邦和阿坎德邦。洪水與山崩造成河川暴漲和多條道路癱瘓，嚴重破壞交通。雨季期間還在東北部奪走至少30條人命，凸顯大雨引發的整體傷亡和災損風險。,國外
美國德州洪患增至27死 夏令營27童下落不明,https://money.udn.com/money/story/5599/8853300?from=edn_related_storybottom,"美國德州豪雨引發毀滅性洪災，造成至少27人罹難，搜救人員今天持續搜尋一處河濱夏令營失蹤的27名女童，然而氣象預報指出接下來還會有更大雨勢。
法新社和路透社報導，德州克爾郡（Kerr County）警長萊沙（Larry Leitha）表示：「目前為止，我們已經撤離超過850名未受傷民眾、8名傷患，並已找到27名罹難者。」他還說，罹難者中有9名孩童。
萊沙在記者會上強調：「我們會全力以赴，直到找到每個人。」
德州克維市（Kerrville）市府官員萊斯（DaltonRice）指出，有數以百計人員投入搜救行動，許多人使用直升機執行任務。
這場洪患始於昨天，好幾個月的雨量在幾個小時內降下，導致瓜達魯普河（Guadalupe River）水位在短短45分鐘內暴漲8公尺。
美國國家氣象局（National Weather Service）警告接下來還會有更多極端豪雨，聖安東尼奧（SanAntonio）西北方一帶將有「局部災難性」暴洪。
今天在克維市，以往平靜的瓜達魯普河變得湍急，混濁的河水挾帶大量漂流物。
現年61歲的當地居民馬蒂內茲（Gerardo Martinez）說：「光是一天就下了平常一整年的雨量。」
他還提到：「水淹到了樹的頂端，大約10公尺吧…車輛、一棟棟房子都順著河水沖走了，真的慘不忍睹。」
市府官員萊斯今天表示，發生洪災的克爾郡有27名參加神秘營（Camp Mystic）基督教夏令營的孩童仍下落不明。
美國媒體援引家屬說法報導，失蹤者中有2名女孩已經身亡。",經濟日報,2025-07-05,,True,美國,"德州,克爾郡,克維市,瓜達魯普河,聖安東尼奧",洪災,美國德州大雨,美國德州豪雨引發嚴重洪災，已造成至少27人死亡，其中包括9名兒童。搜救人員持續尋找27名失蹤的女童，同時撤離超過850名民眾和8名傷患。河水暴漲導致大量財產損失，如房屋和車輛被沖走，預計未來雨勢將加劇，影響當地社區。,洪災導致至少27人死亡（其中9名兒童），27名兒童下落不明，並已撤離超過850名民眾和8名傷患。財產損失包括房屋、車輛等被河水沖毀。影響範圍涵蓋德州克爾郡和瓜達魯普河一帶，造成社區破壞和持續搜救挑戰。,國外
快訊》丹娜絲風雨壓境！氣象署晚間發布海陸警報苗栗以南嚴防大雨豪雨| 生活,https://newtalk.tw/news/view/2025-07-05/980133,"輕度颱風「丹娜絲」逼近台灣，中央氣象署繼今（5日）上午8時30分發布海上颱風警報後，晚間8時30分再度升級，對屏東、高雄、台南、嘉義縣市發布陸上颱風警報，顯示颱風風雨威脅進一步擴大。氣象署指出，丹娜絲不僅強度略為增強，暴風圈也持續擴張，研判週日至週一上半天將從台灣海峽北上，影響程度不容小覷。
根據氣象署最新觀測，丹娜絲於晚間8時的中心位置在北緯20.8度、東經117.9度，距離鵝鑾鼻西南西方約330公里，以每小時10轉20公里速度朝北北東再轉東北前進。近中心最大風速為每秒23公尺，瞬間最大陣風達每秒30公尺，七級風暴風半徑達80公里。
全站首選：丹娜絲變大又增強 台灣颱風論壇:穿越黑水溝西部風雨更猛烈
氣象局提醒，今晚起苗栗以南、花東地區與恆春半島將有顯著降雨，並可能出現局部大雨及短延時豪雨，山區及低窪地區應特別留意土石流與積淹水風險。目前高雄市、台南市、屏東縣已率先宣布明（6日）停班停課。",Newtalk新聞,2025-07-05,https://images.newtalk.tw/resize_action2/800/album/news/981/686923742c286.png,True,台灣,"屏東,高雄,台南,嘉義縣市,苗栗以南,花東地區,恆春半島,鵝鑾鼻",颱風,台灣屏東颱風,輕度颱風丹娜絲逼近台灣，氣象署於5日晚間發布海陸警報，影響屏東、高雄、台南及嘉義等地。颱風中心最大風速每秒23公尺，預計週日至週一從台灣海峽北上，可能帶來局部大雨和豪雨，山區及低窪地區需防範土石流與積淹水風險。高雄、台南、屏東已宣布6日停班停課。,颱風丹娜絲將帶來強風和大雨，影響台灣西部和南部地區，包括苗栗以南、花東及恆春半島。無明確死亡或財產損失數據報告，但高雄、台南、屏東已停班停課，潛在風險包括土石流和積淹水，呼籲山區及低窪地帶居民提高警覺。,國內
快訊》「丹娜絲」發威！氣象署：10縣市大雨特報| 生活,https://newtalk.tw/news/view/2025-07-05/980096,"受到第4號颱風「丹娜絲」外圍環流影響及午後對流雲系發展旺盛影響，易有短延時強降雨，今(5)日氣象署對彰化縣、雲林縣、南投縣、嘉義縣市、台南市、高雄市、屏東縣、花蓮縣和台東縣共10縣市發布大雨特報，有局部大雨發生的機率，請注意雷擊及強陣風，山區請慎防坍方及落石，低窪地區請慎防積水；並對彰化縣、南投縣、雲林縣、屏東縣、台東縣發布大雷雨即時訊息。
並對彰化縣、南投縣、雲林縣、屏東縣、台東縣發布大雷雨即時訊息。   圖：取自中央氣象署",Newtalk新聞,2025-07-05,https://images.newtalk.tw/resize_action2/800/album/news/981/6868d75fedc7b.png,True,台灣,"彰化縣,雲林縣,南投縣,嘉義縣市,台南市,高雄市,屏東縣,花蓮縣,台東縣",颱風,台灣彰化縣大雨,受到第4號颱風「丹娜絲」外圍環流和午後對流雲系影響，氣象署對台灣彰化、雲林、南投、嘉義縣市、台南、高雄、屏東、花蓮和台東等10縣市發布大雨特報。預警局部大雨、雷擊及強陣風，山區可能發生坍方落石，低窪地區易積水，提醒民眾提高警覺。,此次大雨事件影響台灣中南部及東部10縣市，包括彰化、雲林、南投、嘉義、台南、高雄、屏東、花蓮和台東。無具體損失數據報告，如死亡或撤離人數，但潛在風險包括雷擊、強陣風、山區坍方落石及低窪地區積水，可能導致財產損失和安全威脅。,國內
快訊》「丹娜絲」影響雨區擴大！氣象署：全台12縣市豪大雨特報| 生活,https://newtalk.tw/news/view/2025-07-05/980126,受到第4號颱風「丹娜絲」外圍環流影響及午後對流雲系發展旺盛，易有短延時強降雨，今(5)日氣象署對全台12縣市發度豪大雨特報，其中苗栗縣、南投縣、嘉義縣市、台南市、高雄市、花蓮縣、台中市、屏東縣和台東縣發布大雨特報；彰化縣和雲林縣發布豪雨特報。,Newtalk新聞,2025-07-05,https://images.newtalk.tw/resize_action2/800/album/news/981/686906be7f9ef.png,True,台灣,"苗栗縣,南投縣,嘉義縣市,台南市,高雄市,花蓮縣,台中市,屏東縣,台東縣,彰化縣,雲林縣",颱風,台灣彰化縣大雨,第4號颱風「丹娜絲」外圍環流影響台灣，結合午後對流雲系，導致短延時強降雨。氣象署於今日對全台12縣市發布豪大雨特報，其中苗栗縣、南投縣、嘉義縣市、台南市、高雄市、花蓮縣、台中市、屏東縣和台東縣為大雨特報；彰化縣和雲林縣為豪雨特報，提醒民眾注意防範。,此次災害影響範圍涵蓋台灣全境12縣市，包括苗栗、南投、嘉義、台南、高雄、花蓮、台中、屏東和台東發布大雨特報，以及彰化和雲林發布豪雨特報。內文未提及具體損失數據，如死亡人數、撤離人數或財產損失，僅強調潛在強降雨風險。,國內
德州洪災至少26死 夏令營20童失聯,https://news.ltn.com.tw/news/world/paper/1714941,"德州中南部爆發猛烈洪災，先遣應變救難人員協助區域內居民遷往安置中心。（美聯社）
〔編譯林家宇／綜合報導〕美國德州中部四日突降大雨，當地瓜達魯普河（Guadalupe River）河水在四十五分鐘內暴漲八公尺，洶湧的河水沖毀沿河多處設施和家園，劇烈洪災除造成至少廿六人死亡，河畔一處夏令營還有至少廿名女童失蹤，當局正全力搜救，死傷恐再增加。
瓜達魯普河河水因暴雨猛烈上漲，蔓延至克爾郡（Kerr）及周邊區域。當晚降下的雨量達三○五毫米，約為克爾郡年均降雨量三分之一。克爾郡郡治克維市行政官萊斯表示，黎明前來襲的極端洪水幾乎毫無預警，使當局無法預先發布疏散令，事發過程不到兩個小時。德州氣象預報之前預測本週降雨量最高達一五二毫米，德州緊急事務管理局局長基德坦承未能預測如此極端降雨。
瓜達魯普河河岸有多處夏令營，位於克爾郡的女子夏令營「神秘營」附近河水在兩小時內水位暴升六．七公尺，水位監測儀在河水漲到九公尺處失效。當時該夏令營接待約七五○名學員。當局出動直升機輸送部分人員至安全地點，再以車輛將其他人載離危險區域。然而，有廿名女童失聯，生死不明。德州副州長派翠克強調，失聯不代表完全失去希望，有可能在樹上躲避洪水，或是缺少通訊手段。
不過，德州當局稍後證實，神秘營的女負責人在洪水中喪生，河畔其他十八個夏令營的所有人員都已尋獲。德州州長艾波特已簽署「災難宣告」加強區域內搜救資源。當局出動約五百名救難相關人員及十四架直升機協助搜救。截至四日晚間已救出二三七名災民，其中一六七人由直升機運送。休士頓市所在的哈里斯郡證實，有五人因洪水喪生。
德州公共安全廳廳長馬汀警告德州其它區域可能受到「另一波」衝擊，「（災害）不會在今天就結束」。派翠克示警，未來廿四至四十八小時，從聖安東尼奧以北至韋科（Waco）仍有潛在的洪災威脅。
美國總統川普稱這起災難令他感到震驚，聯邦政府會提供協助，「我們正在與州長合作。這是一起可怕的事件」。
從空拍機影像可見，瓜達魯普河因暴雨河水氾濫，淹沒德州聖安吉洛大片住宅區。（路透）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-07-05,https://img.ltn.com.tw/Upload/news/600/2025/07/06/58.jpg,True,美國,"德州中南部,瓜達魯普河,克爾郡,克維市,聖安東尼奧,韋科,哈里斯郡,休士頓市,聖安吉洛",洪水,美國德州中南部洪水,美國德州中部因暴雨引發洪災，瓜達魯佩河水位在45分鐘內暴漲8公尺，導致至少26人死亡，20名女童失聯。當地雨量達305毫米，淹沒多處設施和家園，當局出動直升機和500名救難人員救出237名災民。洪水威脅持續，州長已宣布災難狀態。,洪災造成至少26人死亡，包括一夏令營女負責人，20名女童失聯；救出237名災民，其中167人由直升機運送。影響範圍涵蓋德州中南部克爾郡及周邊區域，河水氾濫淹沒住宅和設施，可能導致更多損失。財產損失未詳述，但多處家園和夏令營設施被毀，未來24-48小時仍有洪水風險。,國外
巴基斯坦暴雨洪水為患 數天內45人死亡,https://money.udn.com/money/story/5599/8840237,"巴基斯坦災難管理官員今天表示，自雨季開始以來，境內各地的暴雨與洪災在短短數天內已造成45人死亡。
法新社報導，巴基斯坦與阿富汗接壤的開柏普赫圖赫瓦省（Khyber Pakhtunkhwa）死亡人數最多，共有21人罹難，包括10名兒童。
災難管理部門表示，其中14名罹難者死於史瓦特河谷（Swat Valley）。媒體報導，一場暴洪捲走岸邊多個家庭。
巴基斯坦人口最多並與印度接壤的旁遮普省（Punjab），自本月25日以來已記錄13人死亡，其中8人是兒童，他們因牆壁或屋頂在暴雨中倒塌而喪命，成年人則是死於突如其來的洪水。
巴基斯坦的信德省（Sindh）與俾路支省（Balochistan）也有11人因季風暴雨死亡。
國家氣象局警告，至少在7月5日之前，出現暴雨與暴洪的風險仍然很高。
位於南亞的巴基斯坦今年春天經歷多起極端天氣事件，包括強烈的冰雹。上個月，至少有32人在強烈風暴中喪生。
巴基斯坦是世界上最易受到氣候變遷影響的國家之一，全國2.4億名居民面臨著日益頻繁的極端天氣事件。",經濟日報,2025-06-30,,True,巴基斯坦,"開柏普赫圖赫瓦省,史瓦特河谷,旁遮普省,信德省,俾路支省",洪水,巴基斯坦開柏普赫圖赫瓦省大雨,巴基斯坦雨季暴雨與洪災已造成45人死亡，主要發生在開柏普赫圖赫瓦省（21人，包括10名兒童）、旁遮普省（13人）和信德省與俾路支省（11人）。災害導致洪水捲走家庭和建築倒塌，氣象局警告暴雨風險持續至7月5日。巴基斯坦作為氣候變遷高風險國家，正面臨頻繁極端天氣。,暴雨與洪災導致巴基斯坦45人死亡，其中開柏普赫圖赫瓦省21人（含10名兒童）、旁遮普省13人（含8名兒童）、信德省與俾路支省11人。影響範圍涵蓋多省，包括河谷洪水和建築崩塌。無撤離或財產損失數據，但氣象局預警持續高風險至7月5日，凸顯氣候變遷對全國的長期威脅。,國外
（影）暴雨沖垮德州! 洪水奪24命還有20女童失蹤、熱浪炸裂密蘇里州公路| 國際,https://newtalk.tw/news/view/2025-07-05/980095,"美國近日遭逢極端天氣夾擊，密蘇里州因酷暑導致柏油路面瞬間炸裂，德州中部則因豪雨引發「世紀洪患」，造成重大死傷與失蹤案例，地方政府與氣象單位已多次示警，呼籲民眾避免外出、遠離積水與受損設施。
據《Nexta TV》指出，密蘇里州東南部開普吉拉多（Cape Girardeau）昨（4）日出現攝氏 40 度以上高溫，路面溫度急遽膨脹，導致州際公路一段柏油突裂隆起；監視器畫面顯示，一輛行駛中的轎車毫無預警撞上裂縫，被彈飛數十公尺，所幸駕駛僅受輕傷。當地警方與公路單位緊急封閉道路搶修，並提醒駕駛人留意「爆街」風險。 ￼
持續更新：印防長當眾拒簽聯合聲明! 上合組織糗大了 董軍忙著打太極 網批 : 明顯偏巴鐵太噁心
同一時間，數百公里外的德州丘陵地帶（Texas Hill Country）遭遇傾盆暴雨，短短數小時累積逾一個月雨量，促使瓜達盧佩河（Guadalupe River）與多條支流決堤氾濫。據《路透社》、《休士頓紀事報》報導，克爾郡（Kerr County）與鄰近縣公告，洪水已奪走至少 24 條人命，另有超過 20 名女童在位於河畔的「Camp Mystic」夏令營失蹤，大批搜救人員動員船艇、直升機及無人機，通宵搜索。
據報導，德州州長艾波特（Greg Abbott）已下令州警、國民兵及聯邦資源全面支援，並設立緊急收容中心與家屬聯絡站。 ￼ ￼
《美聯社》報導則指出，美國國家氣象局（NWS）已對德州中部、東部發出「威脅生命安全」的洪災與暴雨警報，也強調部分低窪地區及縣道公路可能在數分鐘內被洪水吞沒；路況惡化造成至少六起致命意外。氣象局籲請民眾切勿涉水駕車，並備妥斷電與飲水中斷等緊急應變計畫。 ￼
美國德州中部爆洪水危機，至少奪走24條人命、夏令營逾20人失蹤。   影片來源：X
美國德州洪水來襲，多地遭殃成汪洋。   圖：翻攝自 X",Newtalk新聞,2025-07-05,https://images.newtalk.tw/resize_action2/800/album/news/981/6868d864921d5.jpeg,True,美國,"密蘇里州,開普吉拉多,德州中部,德州丘陵地帶,瓜達盧佩河,克爾郡,Camp Mystic",洪水,美國德州大雨,美國近日面臨極端天氣，德州中部豪雨引發嚴重洪水，造成至少24人死亡、逾20名女童在夏令營失蹤，當地河流決堤並引發多起車禍。同時，密蘇里州高溫超過攝氏40度導致公路路面炸裂，一輛車輛撞擊後駕駛輕傷。氣象單位發出警報，呼籲民眾避免外出和涉水。,德州洪水導致至少24人死亡、逾20名女童失蹤，並造成多條河流決堤及數起致命車禍，影響中部丘陵地帶及鄰近縣市；密蘇里州高溫導致的路面炸裂造成1起輕傷意外。財產損失包括道路損壞及緊急搶修，州長已調動警力、國民兵和資源進行搜救與應變。,國外
德州暴雨釀洪災至少13人死亡 女孩夏令營遭沖毀、逾20人失蹤,https://money.udn.com/money/story/5599/8851960,"美國德州遭遇惡劣天氣，部分地區爆發洪災，已造成至少13人死亡。位於聖安東尼奧郊區的一個基督教全女子過夜夏令營營舍疑似遭「災難性」的洪水沖毀，有超過20名女孩失蹤，恐已不幸罹難。
今日美國報引述氣象學家卡普奇（Matthew Cappucci）在「X」發文報導，當地近日累積降雨量超過25.4公分，而「這個區域的年均降雨量約為71.12公分到81.28公分。想像一下，6小時內降下4個月的雨量。」
他補充說，位於凱爾郡杭特（Hunt, Kerr County）的瓜達盧佩河（Guadalupe River）在3小時內暴漲了12.2公尺。
連結：https://x.com/MJTruthUltra/status/1941263476090880387
紐約郵報與BBC報導，德州州長艾伯特正在休假、代行職務的副州長派屈克（Dan Patrick）在記者會上則表示，瓜達盧佩河45分鐘內就暴漲近8公尺，直言這場毀滅性洪水「奪走財產，遺憾地也奪去生命。」
派屈克並宣讀瓜達盧佩河旁「神秘夏令營」（Camp Mystic）聲明，指出當地遭遇「災難性程度」的洪水，並告知家長，如果尚未接獲聯繫，就代表他們的孩子是安全的。
「神秘夏令營」共有年齡介於7歲到17歲之間的750名女孩參加，營地因當地降下暴雨而連夜疏散，但仍有部分營員留在原地。一些小屋據報被洪水淹沒，其他則被沖走，周圍道路也嚴重受損。
儘管部分兒童已經尋獲，但仍受困原地。派屈克估計，在「神秘夏令營」750名營員中，仍有約23人下落不明，但這不代表她們已經罹難。他說：「她們可能在樹上，可能無法與外界聯繫。我們為所有失蹤者祈禱，希望他們能活著被找到。」
派屈克表示，多達500名救援人員和18架直升機正投入搜尋生還者。州政府4日稍早也出動40架直升機、12架無人機和9支潛水救援隊。他承諾：「我想讓大家知道，我們會盡所能全天候搜尋，查看每一棵樹，翻開每一塊石頭，不論付出什麼代價，如果你的孩子是真的失蹤，而不只是失聯，我們一定會找到你的女兒。」
凱爾郡警局長萊薩（Larry L. Leitha）警告：「目前此時仍有數人下落不明，但我們正全力搜救，並將持續努力。這個過程可能需要持續好幾天。」",經濟日報,2025-07-05,https://pgw.udn.com.tw/gw/photo.php?u=https://uc.udn.com.tw/photo/2025/07/05/realtime/32464835.jpg&x=0&y=0&sw=0&sh=0&sl=W&fw=1050&exp=3600&exp=3600,True,美國,"德州,聖安東尼奧郊區,凱爾郡,杭特,瓜達盧佩河,神秘夏令營",洪水,美國德州大雨,美國德州近日遭受暴雨襲擊，累積降雨量超過25.4公分，導致嚴重洪災，至少13人死亡。位於聖安東尼奧郊區的基督教女子夏令營遭洪水沖毀，逾20名女孩失蹤，救援行動持續進行。瓜達盧佩河流域水位暴漲12.2公尺，州政府動員大量資源搜救生還者。,此次洪災造成至少13人死亡，逾20名女孩在夏令營事件中失蹤，部分營員已疏散但仍有受困者。財產損失包括夏令營小屋被淹沒或沖毀，以及周圍道路嚴重受損。影響範圍涵蓋德州多地，特別是聖安東尼奧郊區和瓜達盧佩河流域，救援隊伍包括500名人員、18架直升機和多支潛水隊全力搜救。,國外
巴基斯坦連續一週暴雨和洪水 至少46人死亡,https://news.ltn.com.tw/news/world/breakingnews/5091484,"巴基斯坦官員今（30）日表示，各地持續近一周的強季風降雨和山洪暴發，已造成至少46人死亡和數十人受傷。（歐新社）
〔編譯謝宜哲／綜合報導〕巴基斯坦官員今（30）日表示，巴基斯坦各地持續近一週的強季風降雨和山洪暴發，已造成至少46人死亡和數十人受傷，類似以往緊急狀況的惡劣天氣，仍有可能持續。
根據《美聯社》報導，巴基斯坦國家災害管理局和各省緊急官員指出，自24日後異常強降雨造成的死亡人數，包括開柏普赫圖赫瓦省（Khyber Pakhtunkhwa）22人、旁遮普省（Punjab）東部13人、信德省（Sindh）南部7人以及俾路支省（Balochistan）西南部4人。
巴基斯坦氣象局副局長維爾克（Irfan Virk）聲稱，預計季風季節降雨量將高於正常水平，已向有關部門發出警報，要求其採取預防措施。他警告，不能排除2022年毀滅性洪災期間出現的「極端情況」重演可能性。當時暴雨淹沒巴基斯坦三分之一國土，造成1737人死亡和大面積破壞。
過去一週的罹難者包括27日被捲走的一家17口人中的13名遊客。其餘4名家庭成員已從開柏普赫圖赫瓦省洪水氾濫的斯瓦特河（Swat）中獲救。該省緊急服務部門發言人法伊茲（Bilal Faizi）聲稱，救援人員已發現該團體中的12具屍體，潛水員仍在繼續搜尋另一名受害者。
這起事件在網路上引發了廣泛譴責，許多人認為緊急服務部門反應遲緩。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法",自由時報,2025-06-30,https://img.ltn.com.tw/Upload/news/600/2025/06/30/5091484_1_1.jpg,True,巴基斯坦,"開柏普赫圖赫瓦省,旁遮普省,信德省,俾路支省,斯瓦特河",洪水,巴基斯坦開柏普赫圖赫瓦省大雨,巴基斯坦持續近一周的強季風降雨和山洪暴發，已導致至少46人死亡，數十人受傷。影響地區包括開柏普赫圖赫瓦省、旁遮普省、信德省和俾路支省。氣象局警告降雨量可能超標，可能重演2022年大規模洪災，呼籲採取預防措施。,此次災害造成至少46人死亡（開柏普赫圖赫瓦省22人、旁遮普省13人、信德省7人、俾路支省4人），數十人受傷。其中，一家族17人中有13人因洪水喪生。影響範圍涵蓋巴基斯坦多省，導致河川氾濫和救援延遲，氣象局預警可能持續惡劣天氣，類似2022年洪災的破壞性風險。,國外
