代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型1,類型2,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％
101,摩根日本(日圓)(香港註冊)(本基金並無保證收益及配息且配息來源可能為本金),穩健型,日圓,日本,國外,股票型,股票型,國外-股票型,無,20.21,0.4,0.97,-1.2,-972,448百萬(美元),1969/8/6,8.06,12.31,14.63,15.43,31.06,55.03,65.58,79.41
103,摩根JPM亞太入息基金(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,亞太,國外,平衡型,平衡型,國外-平衡型,年配,10.32,0.34,0.6,-0.06,-0.02,"1,262百萬(美元)",2001/6/15,2.48,6.93,9.6,12.11,13.6,25.14,24.36,27.89
104,摩根太平洋證券,積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,無,18.33,0.26,1.06,-0.79,-4.51,593百萬(美元),1978/5/26,5.47,9.08,12.82,17.41,17.82,31.13,23.81,19.35
105,摩根東協基金(美元)(累計),積極型,美元,東協,國外,股票型,股票型,國外-股票型,無,19.13,0.26,0.96,-0.58,-1.04,"1,175百萬(美元)",1983/7/7,5.3,5.35,11.12,11.26,18.11,23.55,23.99,42.18
106,摩根泰國,積極型,美元,泰國,國外,股票型,股票型,國外-股票型,無,24.94,0.12,1,-1.33,-2.31,165百萬(美元),1989/8/8,9.95,4.92,5.78,-0.32,9.3,-2.16,-2.13,7.48
123,摩根亞洲股票高息基金(本基金無保證收益),積極型,美元,亞洲,國外,股票型,高股息,國外-股票型,無,15.47,0.31,0.89,-0.16,-0.09,581百萬(美元),1981/6/15,3.18,9.37,13.04,16.1,17.94,35.26,31.13,53.32
134,摩根亞洲小型企業基金,積極型,美元,亞洲,國外,中小型股,中小型股,國外-中小型股,無,18.61,0.24,0.99,0.19,0.66,167百萬(美元),1991/12/2,2.52,11.51,16.63,11.77,16.23,29.73,24.37,39.62
136,摩根JPM歐洲基金(本基金之配息來源可能為本金),穩健型,美元,歐洲,國外,股票型,股票型,國外-股票型,年配,18.09,0.3,1.08,0.09,0.07,"1,584百萬(美元)",2001/6/1,1.94,8.13,15.46,28.43,20.57,39.72,61.06,81.16
137,摩根南韓基金,積極型,美元,南韓,國外,股票型,股票型,國外-股票型,無,24.16,0.26,1.05,-0.08,-0.07,194百萬(美元),1991/12/11,-0.02,25.71,29.2,46.22,22.29,27.1,24.22,35.02
147,摩根太平洋科技基金,積極型,美元,亞洲,國外,資訊科技股,資訊科技股,國外-資訊科技股,無,25.71,0.28,0.84,-0.74,-0.79,668百萬(美元),1997/8/15,8.57,14.96,12.01,22,25.44,41.4,33.82,15.07
151,摩根印度基金,積極型,美元,印度,國外,股票型,股票型,國外-股票型,無,17.06,-0.07,1.03,-0.05,-0.17,665百萬(美元),1989/11/23,-2.97,-1.66,4.64,-2.55,-4.11,15.04,17.35,62.33
165,摩根JPM環球天然資源基金(本基金之配息來源可能為本金),積極型,歐元,全球,國外,天然資源,天然資源,國外-天然資源,年配,14.68,0.1,0.55,-0.55,-0.09,758百萬(美元),2005/3/14,1.51,5,-1.88,7.44,5.64,9.02,6.59,81.4
