title,url,publisher,date,cover,event,content,summary,region,overview,recent_update,location,author,publish_date
台灣嘉義六級地震 台積電疏散廠員,https://www.bbc.com/zhongwen/articles/cwywnx399l4o/trad,BBC News 中文,2025-01-21,https://ichef.bbci.co.uk/ace/ws/660/cpsprodpb/7ebc/live/9e50ad80-cd06-11ef-87df-d575b9a434a4.jpg.webp,台灣嘉義地震,台灣南部發生6.0級地震，震源深度9.7公里，嘉義和台南受災，20多人受傷。,地震造成20多人受傷，台積電疏散中南部廠區員工，目前廠房結構安全，陸續恢復運作。未來三天可能有5級以上餘震。,國內,2024年12月23日，台灣發生地震，震中位於嘉義縣，造成20多人受傷。台積電中南部廠區員工一度疏散，目前廠房結構安全，陸續恢復運作。未來三天可能有5級以上餘震。雖未報告人員傷亡或財產損失，但最大震度達4級，影響範圍主要集中在嘉義縣。,2025-02-17,"台灣 嘉義,台南",BBC News 中文,2025-01-21
嘉義縣大埔鄉地震規模4.4 最大震度4級,https://newtalk.tw/news/view/2025-02-10/956080,Newtalk新聞,2025-02-10,https://images.newtalk.tw/resize_action2/800/album/news/957/67a92dd88474d.jpg,台灣嘉義地震,凌晨1時39分，嘉義縣大埔鄉發生芮氏規模4.4地震，震央位於嘉義縣政府東南方35.2公里，深度14.7公里。,此次地震未造成人員傷亡或財產損失的報告，但最大震度達到4級，影響範圍主要集中在嘉義縣。,國內,2024年12月23日，台灣發生地震，震中位於嘉義縣，造成20多人受傷。台積電中南部廠區員工一度疏散，目前廠房結構安全，陸續恢復運作。未來三天可能有5級以上餘震。雖未報告人員傷亡或財產損失，但最大震度達4級，影響範圍主要集中在嘉義縣。,2025-02-17,"台灣 嘉義縣,嘉義縣大埔鄉",Newtalk新聞,2025-02-10
印度地牛翻身 德里清晨大地震嚇醒人,https://money.udn.com/money/story/5599/8552569,經濟日報,2025-02-17,,印度德里地震,印度德里清晨發生強烈地震，持續約10秒，許多民眾被驚醒。,地震規模、受影響程度尚待觀察，無具體損失數據，但有民眾被驚醒並短暫逃到路上。,國外,2025年1月6日凌晨5時30分，薩爾瓦多發生規模6.1地震，震源深度87公里，民眾在睡夢中被驚醒並短暫逃到路上。目前無人員傷亡或財產損失報告。1月10日，該國再次發生規模5.8地震，震源深度95公里，首都居民感受到強烈震動，紛紛逃到街上，地震影響範圍及後續發展尚待觀察。,2025-02-17,"印度 德里,德里國家首都區",經濟日報,2025-02-17
台南凌晨連2震! 最大規模4.4「極淺層地震」最大震度4級9縣市有感| 生活,https://newtalk.tw/news/view/2025-01-31/954902,Newtalk新聞,2025-01-31,https://images.newtalk.tw/resize_action2/800/album/news/955/679c148cdf223.jpg,台灣台南地震,台南市東山區清晨發生芮氏規模4.4地震，震央在台南市政府東北方，深度6.8公里，屬於極淺層地震。,此次地震造成9縣市有感，最大震度4級出現在台南市白河區。另有規模4.0地震發生於台南市南化區。近期餘震頻率雖下降，但仍有規模5.5以上餘震，民眾需做好防震準備。,國內,2024年12月23日，台灣發生一系列地震，9縣市有感，最大震度4級出現在台南市白河區。另有規模4.0地震發生於台南市南化區。近期餘震頻率雖下降，但仍有規模5.5以上餘震，民眾需做好防震準備。,2025-02-17,"台灣 台南市東山區,台南市白河,嘉義縣,嘉義市,雲林縣,高雄市,南投縣,彰化縣,台東縣,澎湖縣,台南市南化區,高雄市甲仙,屏東縣",Newtalk新聞,2025-01-31
印度德里規模4地震 民眾睡夢中驚醒逃生,https://money.udn.com/money/story/5599/8552639,經濟日報,2025-02-17,,印度德里地震,印度德里凌晨發生規模4地震，震央位於新德里附近，地震深度5公里，持續數秒，民眾驚醒逃生。,目前沒有報告人員傷亡或財產損失，地震發生在凌晨5時30分，民眾在睡夢中被驚醒，為安全起見逃出家門。,國外,2025年1月6日凌晨5時30分，薩爾瓦多發生規模6.1地震，震源深度87公里，民眾在睡夢中被驚醒並短暫逃到路上。目前無人員傷亡或財產損失報告。1月10日，該國再次發生規模5.8地震，震源深度95公里，首都居民感受到強烈震動，紛紛逃到街上，地震影響範圍及後續發展尚待觀察。,2025-02-17,"印度 德里,新德里,印度德里國家首都區",經濟日報,2025-02-17
嘉義、台南、高雄整夜地震齊發！「5小時內連54震」氣象署揭原因| 生活,https://news.google.com/read/CBMiWkFVX3lxTFAxR0hYYVoyb1JGb3gzR1NvOV9ZVkpsaEo5UllOQWdOZ05acXNFMEYycjNETU5ENUoxcG5hS1FzUmxtQTZRdkVXQkYzV1k3S2ZqR1QtaHZRU01qZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,2025-01-21,,,,,國外,,2025-02-17,錯誤 錯誤,Newtalk新聞,2025-01-21
地牛翻身！台南楠西規模3.9淺層地震 最大震度2級,https://news.google.com/read/CBMiWkFVX3lxTE95WUZCOXl6SG50N3MzWUk5NGQyQW4waEJwY3FXb29oVV9TeFB3OTRyNjJKcnhRc1NxRmxLZ0lLSnViOFdwLUJYdDFpRVB6cUlrdE1zWWJzR0RFZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,2025-02-09,,台灣台南地震,錯誤,錯誤,國外,2024年12月23日，台灣發生一系列地震，9縣市有感，最大震度4級出現在台南市白河區。另有規模4.0地震發生於台南市南化區。近期餘震頻率雖下降，但仍有規模5.5以上餘震，民眾需做好防震準備。,2025-02-17,錯誤 錯誤,Newtalk新聞,2025-02-09
快訊》又震！台南楠西區19:18規模5.3「極淺層地震」 最大震度4級,https://news.google.com/read/CBMiWkFVX3lxTFBPdDhGTXJiOWJFMFEydFVneXFIb1BHT0lvNTRkZTg2ejgzZTlEdHdUWXFCSWRzakp2d05BSkpmbW9EV1VKMjFMdjVNWWZRWms2dHJmaUhmbmREUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,2025-01-24,,,,,國外,,2025-02-17,錯誤 錯誤,Newtalk新聞,2025-01-24
台南今晨9：58規模4.5地震！氣象署：「2縣市」最有感！震度最高4級,https://news.google.com/read/CBMiWkFVX3lxTFBvRWhDZFhDdkNPX3lPd3lnZ2dhZU42VEFCWlBsT2lfOXJZazYzVnBvRmlKSHJPZS1uenFiVFh1TC1MRklURHZFSkdfd3FWOWNnaFNuZWtLZGlZZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,2025-01-27,,,,,國外,,2025-02-17,錯誤 錯誤,Newtalk新聞,2025-01-27
澳洲東南熱浪侵襲 森林野火風險升高,https://news.google.com/read/CBMiWkFVX3lxTFA2UU1sbmFremgyR1lVN1VidVhBSUZvUXFqWGZmaXM1aEdSa3dxYkRZdmFxaWpJMGpUZDVXQUJUeExoSzVuSTNFbU5PaTktTWdnb0pocTNpLVpZZ9IBX0FVX3lxTFBVYVRsZXRsZGFYbEZES25NdzJWejhhY19BWW4tT0xCZzVzTG5jYkFaV2MtZW12U2ZacmtoSHRYTzBhRHdvRi1JRVFhZHJOYXJNbUNlamdZOHlMQWgzRVpj?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,2025-01-27,,,,,國外,,2025-02-17,錯誤 錯誤,經濟日報,2025-01-27
