標題,連結,來源,時間
颱風珊珊襲日本九州降破紀錄大雨 已釀3死85傷,https://news.google.com/read/CBMiX0FVX3lxTE1MRkx0ZFJldGxrY0M1cUU4dXdLSUY0SUVGMG94RUloMjRlYVE1TmRjVmJleWY1aGI4TVFqbHhZWXg0bkxDZkx6dmtkMld5X2RNZk5TZTk0Mm9HR1VLM0xn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,8月29日
珊珊颱風襲日本 鹿兒島強風豪雨掀巨浪 愛知土石流壓垮民宅,https://news.google.com/read/CBMijgNBVV95cUxPWlNKUzdGQ0JkYXVpRmVhaVZlY1ZqQUhZYTZfbG5fcDFqSXhBRHJuWTN0TXJPQXBZR3hqZU5aRjFQc3FjZmpTTjExRG4tSklUeXFpUkExVG9Wa3d0cXpTVlBuc0V3YkdYRTFtUGNQY0hKem1qMWg4RFFxZkdpSVR5em5pYXFUZkF3anVUVHlYMzZtSTZtaEpCWXVSdzNmUkgzNUN6aGRORFdjeUxYSVZRMEdxSy12ZHpZV0c0c1Vvd3hZdHBsbk5TREFjNk10U2NjWXNaWDZvdVBEVWp6V29IWG9EazUwOEZvRy1feEZjU0FXQmNzQUdUeV9SaGVhUUlIVElfX1NNanZYWjdmVllZNXpTbkUzMWRYYWpjT0pSTnF5NUJUdlV2NTFnZkh1QTJTNWxhTEdVUHRfY2lzNlpkZzJzeVgtemFXTnV4UkRJR1JNVXZFOWtPLWs5TldEN2hMQkhoVTFBZG5Zd2NXLUdUcHJ3MVJWdzBWLXB1cjVjeHpUY2VPU256UUxMUFFKUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,8月28日
快訊》雨區再擴大！ 14縣市大雨特報2縣市防大雷雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBCMzU0TjlsWFNjYlV2cXBTU3VZbEJCTDZIZTZHY1NHbDZiYllKMDFLTjcyQkJ4M0J3OTJuWVZ6Z2haeDkzR3FYY2dLZFRWUF96V3JrVnRWemk5QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,7 天前
大雨澆不熄熱情！台中國際踩舞嘉年華昨豐原登場 還有一天別再錯過,https://news.google.com/read/CBMiYEFVX3lxTE1OV1BKRXN3eE5ZQ0VvNVpWUGxMV2l0V2xfVjRJVWFaVncydE1OaXhCaVRsNWp3aWZrNWE5WmhrTUlZMWxmb25hTjJUWkVvZzVBMlNfVnJsZ0lnV0dONjZLUA?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,臺中市政府,6 天前
8月22日國際重要訊息 東京破紀錄大雨 航班停飛 新幹線停駛,https://news.google.com/read/CBMiYEFVX3lxTE91eGIwRWFwUGVOb3pKTmNRb0VucW1FV2o2S2IzY3FWRkthYWZXczd0SmgtVkFJTFA0SHFGMERmNjBta250Z2JvVm9nVVQ4Zmd3ZGVqY0Z1NkhJVkVJYmFfedIBZkFVX3lxTE96WDAzYXJCekNSQWtFM2p2TVZlMHdqRHhOdXFHUHBMazB2MG90NDFtdndSaV9xbE9QaktlNHJ4VFpxNnl5ZjN2V3RSUHBFaWsxTFd2QXl0RXY1SkNXczZXWTR4ZGVmUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,新唐人電視台,8月22日
日本石川大雨成災 傳1人失聯2地成陸上孤島,https://news.google.com/read/CBMiWkFVX3lxTE53SU5ZRXJ2bGNJODJic1RIenR6VXh2VE9HbWNlZFdRWWdmc0hvNUozUVVmZ3pNMG1vdGRybzJvRXRHRG5TQjNiTlVHT2ZNMzIyaWdsRnNRSzNhQdIBX0FVX3lxTE9EN1BRbzg0NEJ2N3o0SXREOWFyOHNYc09wNlNRZDNYVlBFb2RtekJGN3pxZ0N2bWNJbndwZ3ZaMm1EZnVBVnVHejl4dmFaNFBkQ2tjSF9HR3hoVmRVeHhF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,37 分鐘前
颱風珊珊牛步移動關東地區9月初嚴防災害級大雨| 國際,https://news.google.com/read/CBMiX0FVX3lxTE1NQmUwSHR0YTFXX0ttWlN1MmNhVEstVDNvSDg2aGlndUhUb0xabjFMQTI0b3RyVUkyNXZ3RUJsUXlSRkRacUFQdnI0V0ZBQjNfdGZvQ1FRQlM0S3d6d1FB?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,8月29日
氣象局發布多個警報！中南部9縣市大雨特報台中溪水暴漲警戒| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1qZmFUS0RiVWFFUzBiMmVNVGM0Z1VfRHlveldXZE45bEFpblpLbDhMQzc3SjNzWmNTQ2praTJsSTRReGhmYkhSMXJ4VUdYUFhnSml3ekw0ZWV5QQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,20 天前
連日大雨襲中東歐 30年最嚴重洪水釀至少8死 直擊災情現場,https://news.google.com/read/CBMi-gJBVV95cUxPVVNXVGU0VGRsdG00M2dzM1h4T0JrQmxvb0ZKa2JnZGNNemc3NzhsUzJ0dllrTGVEREszQWo1a2JUTzZxM2wtT0hBREFna3VwUFJnenAzNG9XR1V2cnItNGQ2LXRxMnF5VXU3MTRJV0pQOS1qQi1nc0lYa3pGWkY0czMzNlJReU1QeG5IT0FHU1pVeFlIVGZZTnFRak9YTy1xUU9UeHBXcjNsM2RTUnh3MThHSHhTTERLQVZmT2hyNThnTVAyNXdhQnZ6YllfR2xaakh3d3BpclI2bFdmcU1FQmlvLTI0SVNzY2xIRTM0c3ltTVN0U2JzWnNnQmpaR25VMFVWYkNRYXVVei1LUmNpQWY2YlJtT3BVN3g2VmhhcVNIekpRQTV0cjRQbDAxRTZvclBwM1Nxb0lYRzVabHB0UlhwcVB6S0N3YzZoSkRFSUFFXzFaZUpkVWh4NUZtRkc5ZEppNi02dDVsNDZoR1dXNExPSnVqOFNQNUE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,5 天前
颱風珊珊撲日本釀4死近百傷2地降破紀錄大雨| 國際,https://news.google.com/read/CBMiX0FVX3lxTE5YazJYdS1CY003WFZDOWxhbDQ1bElpRHI0Z2I5UHVxc0c5aHFJXzBwdmdKdzQ3N3ZfM25uZUV0alQ5dWxzTUlWWDNEdGNWRVR4c0I3SEI2Mm1qWHYxVDMw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,8月30日
台灣今明高溫飆38度! 珊珊颱風恐降「前所未見」超大豪雨整死日本| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBBbGo1RHlmTHRBZFZMRGlIcG5NVGN3QzdILWtSQjBoQVpDUTktempjbjlFNXBENnVmVmVYcFREODdWZHpnT2xTaXpkbjVfMFJLRV9jQWhBSlhqZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,8月27日
颱風珊珊登陸日本九州氣象廳警告強風豪雨威脅| 國際,https://news.google.com/read/CBMiX0FVX3lxTE1hckpZSzdjRklKVElUVC10YzR3T2g1SnlpaDYza005bkZLeC1wczBEUThvLXdtMk5tSHp4VW5IellBVkJ1ME1jVTNQeWs0YXJsUTJjVE9aSkhZY19fN09F?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,8月29日
