民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,112年01月01日至112年03月31日,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2
Unnamed: 0_level_3,金額,金額,Unnamed: 3_level_3,Unnamed: 4_level_3,Unnamed: 5_level_3,Unnamed: 6_level_3
營業活動之現金流量－間接法,,,,,,
繼續營業單位稅前淨利（淨損）,329637.0,172680.0,,,,
本期稅前淨利（淨損）,329637.0,172680.0,,,,
折舊費用,29069.0,31660.0,,,,
攤銷費用,3634.0,3712.0,,,,
預期信用減損損失（利益）數∕呆帳費用提列（轉列收入）數,978.0,496.0,,,,
透過損益按公允價值衡量金融資產及負債之淨損失（利益）,0.0,0.0,,,,
利息費用,5003.0,5454.0,,,,
利息收入,-13369.0,-9904.0,,,,
採用權益法認列之關聯企業及合資損失（利益）之份額,1560.0,800.0,,,,
處分及報廢不動產、廠房及設備損失（利益）,46.0,1.0,,,,
處分投資損失（利益）,0.0,0.0,,,,
非金融資產減損迴轉利益,0.0,0.0,,,,
其他項目,-4964.0,-5693.0,,,,
收益費損項目合計,21957.0,26526.0,,,,
應收票據（增加）減少,49952.0,32824.0,,,,
應收帳款（增加）減少,-22120.0,1048.0,,,,
其他應收款（增加）減少,0.0,0.0,,,,
存貨（增加）減少,-63089.0,31180.0,,,,
預付款項（增加）減少,-30422.0,32527.0,,,,
其他流動資產（增加）減少,0.0,0.0,,,,
與營業活動相關之資產之淨變動合計,-65679.0,97579.0,,,,
應付票據增加（減少）,42705.0,-15299.0,,,,
其他應付款增加（減少）,-92345.0,-44369.0,,,,
負債準備增加（減少）,0.0,0.0,,,,
其他流動負債增加（減少）,-19047.0,-8240.0,,,,
遞延貸項增加（減少）,-125.0,-125.0,,,,
與營業活動相關之負債之淨變動合計,-68812.0,-68033.0,,,,
與營業活動相關之資產及負債之淨變動合計,-134491.0,29546.0,,,,
調整項目合計,-112534.0,56072.0,,,,
營運產生之現金流入（流出）,217103.0,228752.0,,,,
收取之利息,10881.0,5717.0,,,,
支付之利息,-5053.0,-5351.0,,,,
退還（支付）之所得稅,-4777.0,-3224.0,,,,
營業活動之淨現金流入（流出）,218154.0,225894.0,,,,
投資活動之現金流量,,,,,,
取得透過其他綜合損益按公允價值衡量之金融資產,0.0,0.0,,,,
處分透過其他綜合損益按公允價值衡量之金融資產,0.0,0.0,,,,
取得按攤銷後成本衡量之金融資產,93978.0,-29803.0,,,,
處分按攤銷後成本衡量之金融資產,0.0,0.0,,,,
取得透過損益按公允價值衡量之金融資產,0.0,0.0,,,,
取得採用權益法之投資,0.0,0.0,,,,
處分採用權益法之投資,0.0,0.0,,,,
預付投資款增加,0.0,0.0,,,,
取得不動產、廠房及設備,-19471.0,-38488.0,,,,
處分不動產、廠房及設備,1.0,0.0,,,,
存出保證金增加,5929.0,4922.0,,,,
存出保證金減少,0.0,0.0,,,,
取得投資性不動產,426.0,-54991.0,,,,
處分投資性不動產,0.0,0.0,,,,
其他金融資產增加,172.0,75888.0,,,,
其他非流動資產減少,-2294.0,-2386.0,,,,
預付設備款增加,-13131.0,-43159.0,,,,
其他投資活動,0.0,0.0,,,,
投資活動之淨現金流入（流出）,65610.0,-88017.0,,,,
籌資活動之現金流量,,,,,,
短期借款增加,0.0,0.0,,,,
短期借款減少,0.0,0.0,,,,
租賃本金償還,-1500.0,-3133.0,,,,
其他非流動負債增加,5239.0,16.0,,,,
非控制權益變動,0.0,0.0,,,,
籌資活動之淨現金流入（流出）,3739.0,-3117.0,,,,
匯率變動對現金及約當現金之影響,-29187.0,5445.0,,,,
本期現金及約當現金增加（減少）數,258316.0,140205.0,,,,
期初現金及約當現金餘額,1659193.0,1318731.0,,,,
期末現金及約當現金餘額,1917509.0,1458936.0,,,,
資產負債表帳列之現金及約當現金,1917509.0,1458936.0,,,,
