民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年03月31日,113年03月31日,112年12月31日,112年12月31日,112年03月31日,112年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
流動資產,,,,,,,,
現金及約當現金,6105829.0,9.31,6341576.0,9.78,5174870.0,8.52,,
透過損益按公允價值衡量之金融資產－流動,739742.0,1.13,63123.0,0.1,23278.0,0.04,,
應收票據淨額,1533804.0,2.34,1587861.0,2.45,1517121.0,2.5,,
應收帳款淨額,6494583.0,9.9,6842585.0,10.56,5996141.0,9.87,,
應收帳款－關係人淨額,18188.0,0.03,19437.0,0.03,43157.0,0.07,,
存貨,8610894.0,13.13,9327243.0,14.39,9076281.0,14.95,,
生物資產－流動,2187505.0,3.33,2124423.0,3.28,2420054.0,3.99,,
預付款項,2030538.0,3.1,1426362.0,2.2,2040013.0,3.36,,
其他流動資產,1272269.0,1.94,1219961.0,1.88,1229932.0,2.03,,
流動資產合計,28993352.0,44.2,28952571.0,44.66,27520847.0,45.32,,
非流動資產,,,,,,,,
透過損益按公允價值衡量之金融資產－非流動,0.0,0.0,0.0,0.0,0.0,0.0,,
透過其他綜合損益按公允價值衡量之金融資產－非流動,2725306.0,4.15,2644544.0,4.08,2751726.0,4.53,,
採用權益法之投資,1767712.0,2.69,1674606.0,2.58,1758699.0,2.9,,
不動產、廠房及設備,25589171.0,39.01,24819962.0,38.29,22784154.0,37.52,,
使用權資產,2951401.0,4.5,2958898.0,4.56,1870859.0,3.08,,
投資性不動產淨額,600530.0,0.92,593509.0,0.92,647540.0,1.07,,
無形資產,156684.0,0.24,155526.0,0.24,154245.0,0.25,,
生物資產－非流動,495862.0,0.76,574430.0,0.89,562335.0,0.93,,
遞延所得稅資產,278458.0,0.42,279222.0,0.43,343056.0,0.56,,
其他非流動資產,2040367.0,3.11,2174348.0,3.35,2334348.0,3.84,,
非流動資產合計,36605491.0,55.8,35875045.0,55.34,33206962.0,54.68,,
資產總額,65598843.0,100.0,64827616.0,100.0,60727809.0,100.0,,
流動負債,,,,,,,,
短期借款,13196787.0,20.12,13359945.0,20.61,13262347.0,21.84,,
應付短期票券,3795000.0,5.79,3870000.0,5.97,3835000.0,6.32,,
透過損益按公允價值衡量之金融負債－流動,0.0,0.0,56614.0,0.09,5032.0,0.01,,
應付票據,295004.0,0.45,255967.0,0.39,295847.0,0.49,,
應付帳款,4699343.0,7.16,5453318.0,8.41,5245050.0,8.64,,
應付帳款－關係人,139914.0,0.21,124077.0,0.19,87267.0,0.14,,
其他應付款,4799777.0,7.32,3114840.0,4.8,2406428.0,3.96,,
其他應付款項－關係人,0.0,0.0,0.0,0.0,0.0,0.0,,
本期所得稅負債,915150.0,1.4,806653.0,1.24,360513.0,0.59,,
負債準備－流動,0.0,0.0,0.0,0.0,0.0,0.0,,
與待出售非流動資產直接相關（或處分群組）之負債,0.0,0.0,0.0,0.0,0.0,0.0,,
租賃負債－流動,226838.0,0.35,205372.0,0.32,211732.0,0.35,,
其他流動負債,2147298.0,3.27,1362101.0,2.1,1857509.0,3.06,,
流動負債合計,30215111.0,46.06,28608887.0,44.13,27566725.0,45.39,,
非流動負債,,,,,,,,
應付公司債,0.0,0.0,0.0,0.0,0.0,0.0,,
長期借款,1422384.0,2.17,2033686.0,3.14,1908239.0,3.14,,
負債準備－非流動,2149.0,0.0,2149.0,0.0,3438.0,0.01,,
遞延所得稅負債,165856.0,0.25,164116.0,0.25,193725.0,0.32,,
租賃負債－非流動,1859964.0,2.84,1945557.0,3.0,798781.0,1.32,,
其他非流動負債,245945.0,0.37,256476.0,0.4,246643.0,0.41,,
非流動負債合計,3696298.0,5.63,4401984.0,6.79,3150826.0,5.19,,
負債總額,33911409.0,51.7,33010871.0,50.92,30717551.0,50.58,,
歸屬於母公司業主之權益,,,,,,,,
股本,,,,,,,,
普通股股本,8947673.0,13.64,8947673.0,13.8,8947673.0,14.73,,
股本合計,8947673.0,13.64,8947673.0,13.8,8947673.0,14.73,,
資本公積,,,,,,,,
資本公積合計,3700333.0,5.64,3676361.0,5.67,3385503.0,5.57,,
保留盈餘,,,,,,,,
保留盈餘合計,9059276.0,13.81,10181765.0,15.71,8213768.0,13.53,,
其他權益,,,,,,,,
其他權益合計,1536422.0,2.34,1103914.0,1.7,1471489.0,2.42,,
庫藏股票,-283235.0,-0.43,-219132.0,-0.34,-219132.0,-0.36,,
歸屬於母公司業主之權益合計,22960469.0,35.0,23690581.0,36.54,21799301.0,35.9,,
非控制權益,8726965.0,13.3,8126164.0,12.54,8210957.0,13.52,,
權益總額,31687434.0,48.3,31816745.0,49.08,30010258.0,49.42,,
負債及權益總計,65598843.0,100.0,64827616.0,100.0,60727809.0,100.0,,
預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
母公司暨子公司所持有之母公司庫藏股股數（單位：股）,50698471.0,,49059471.0,,49059472.0,,,
