民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,113年01月01日至113年03月31日,112年01月01日至112年03月31日,112年01月01日至112年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,33348.0,100.0,88390.0,100.0,
營業成本合計,50113.0,150.27,92151.0,104.26,
營業毛利（毛損）,-16765.0,-50.27,-3761.0,-4.26,
營業毛利（毛損）淨額,-16765.0,-50.27,-3761.0,-4.26,
營業費用,,,,,
推銷費用,3751.0,11.25,5572.0,6.3,
管理費用,5251.0,15.75,6207.0,7.02,
營業費用合計,9002.0,26.99,11779.0,13.33,
營業利益（損失）,-25767.0,-77.27,-15540.0,-17.58,
營業外收入及支出,,,,,
利息收入,-17.0,-0.05,109.0,0.12,
其他收入,819.0,2.46,879.0,0.99,
其他利益及損失淨額,4790.0,14.36,-179.0,-0.2,
財務成本淨額,3400.0,10.2,3585.0,4.06,
營業外收入及支出合計,2192.0,6.57,-2776.0,-3.14,
稅前淨利（淨損）,-23575.0,-70.69,-18316.0,-20.72,
所得稅費用（利益）合計,972.0,2.91,912.0,1.03,
繼續營業單位本期淨利（淨損）,-24547.0,-73.61,-19228.0,-21.75,
本期淨利（淨損）,-24547.0,-73.61,-19228.0,-21.75,
其他綜合損益(淨額),,,,,
國外營運機構財務報表換算之兌換差額,12.0,0.04,-6.0,-0.01,
後續可能重分類至損益之項目：,12.0,0.04,-6.0,-0.01,
其他綜合損益（淨額）,12.0,0.04,-6.0,-0.01,
本期綜合損益總額,-24535.0,-73.57,-19234.0,-21.76,
淨利（損）歸屬於：,,,,,
母公司業主（淨利∕損）,-24547.0,-73.61,-19228.0,-21.75,
母公司業主（綜合損益）,-24535.0,-73.57,-19234.0,-21.76,
基本每股盈餘,,,,,
基本每股盈餘,-0.43,,-0.34,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,-0.43,,-0.34,,
