民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,113年01月01日至113年03月31日,112年01月01日至112年03月31日,112年01月01日至112年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
營業收入合計,158756079.0,100.0,131403552.0,100.0,
營業成本合計,107038579.0,67.42,88719304.0,67.52,
營業毛利（毛損）,51717500.0,32.58,42684248.0,32.48,
營業毛利（毛損）淨額,51717500.0,32.58,42684248.0,32.48,
營業費用,,,,,
推銷費用,35859030.0,22.59,29419835.0,22.39,
管理費用,6893271.0,4.34,6246402.0,4.75,
研究發展費用,235817.0,0.15,237485.0,0.18,
預期信用減損損失（利益）,45392.0,0.03,-1438.0,0.0,
營業費用合計,43033510.0,27.11,35902284.0,27.32,
營業利益（損失）,8683990.0,5.47,6781964.0,5.16,
營業外收入及支出,,,,,
利息收入,1138684.0,0.72,1047740.0,0.8,
其他收入,1167028.0,0.74,1128016.0,0.86,
其他利益及損失淨額,-142083.0,-0.09,1388437.0,1.06,
財務成本淨額,1009720.0,0.64,775282.0,0.59,
採用權益法認列之關聯企業及合資損益之份額淨額,1022129.0,0.64,742476.0,0.57,
營業外收入及支出合計,2176038.0,1.37,3531387.0,2.69,
稅前淨利（淨損）,10860028.0,6.84,10313351.0,7.85,
所得稅費用（利益）合計,2537025.0,1.6,2605812.0,1.98,
繼續營業單位本期淨利（淨損）,8323003.0,5.24,7707539.0,5.87,
本期淨利（淨損）,8323003.0,5.24,7707539.0,5.87,
其他綜合損益(淨額),,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,176346.0,0.11,207225.0,0.16,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,53055.0,0.03,93293.0,0.07,
與不重分類之項目相關之所得稅,-18684.0,-0.01,-13109.0,-0.01,
不重分類至損益之項目：,248085.0,0.16,313627.0,0.24,
國外營運機構財務報表換算之兌換差額,4040545.0,2.55,-1160381.0,-0.88,
透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益,8558.0,0.01,8769.0,0.01,
採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,-30256.0,-0.02,68552.0,0.05,
後續可能重分類至損益之項目：,4018847.0,2.53,-1083060.0,-0.82,
其他綜合損益（淨額）,4266932.0,2.69,-769433.0,-0.59,
本期綜合損益總額,12589935.0,7.93,6938106.0,5.28,
淨利（損）歸屬於：,,,,,
母公司業主（淨利∕損）,5533901.0,3.49,5001455.0,3.81,
非控制權益（淨利∕損）,2789102.0,1.76,2706084.0,2.06,
母公司業主（綜合損益）,9105611.0,5.74,4453626.0,3.39,
非控制權益（綜合損益）,3484324.0,2.19,2484480.0,1.89,
基本每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.97,,0.88,,
基本每股盈餘,0.97,,0.88,,
稀釋每股盈餘,,,,,
繼續營業單位淨利（淨損）,0.97,,0.88,,
稀釋每股盈餘,0.97,,0.88,,
