民國113年第1季	民國113年第1季.1	民國113年第1季.2	民國113年第1季.3	民國113年第1季.4	民國113年第1季.5	民國113年第1季.6	民國113年第1季.7	民國113年第1季.8
單位：新台幣仟元	單位：新台幣仟元	單位：新台幣仟元	單位：新台幣仟元	單位：新台幣仟元	單位：新台幣仟元	單位：新台幣仟元	單位：新台幣仟元	單位：新台幣仟元
會計項目	113年03月31日	113年03月31日	112年12月31日	112年12月31日	112年03月31日	112年03月31日		
	金額	%	金額	%	金額	%		
流動資產								
現金及約當現金	589892	4.09	591247	4.22	497390	3.54		
透過損益按公允價值衡量之金融資產－流動	280483	1.94	247264	1.76	249239	1.77		
應收票據淨額	69454	0.48	43171	0.31	59689	0.42		
應收票據－關係人淨額	19285	0.13	21498	0.15	19464	0.14		
應收帳款淨額	676107	4.68	604451	4.31	691099	4.92		
應收帳款－關係人淨額	19320	0.13	11743	0.08	45012	0.32		
其他應收款淨額	13567	0.09	17839	0.13	14084	0.10		
其他應收款－關係人淨額	61244	0.42	63094	0.45	31800	0.23		
本期所得稅資產	429	0.00	425	0.00	234	0.00		
存貨	869425	6.02	891424	6.36	918031	6.53		
預付款項	73799	0.51	103453	0.74	75695	0.54		
其他流動資產	3448	0.02	2312	0.02	4495	0.03		
流動資產合計	2676453	18.54	2597921	18.53	2606232	18.55		
非流動資產								
透過其他綜合損益按公允價值衡量之金融資產－非流動	1399944	9.70	1344104	9.59	1487892	10.59		
採用權益法之投資	4648012	32.20	4414855	31.49	4343122	30.91		
不動產、廠房及設備	2096831	14.52	2058769	14.68	2064009	14.69		
使用權資產	177039	1.23	172966	1.23	170348	1.21		
投資性不動產淨額	3180182	22.03	3180182	22.68	3127989	22.26		
無形資產	10058	0.07	6222	0.04	7251	0.05		
遞延所得稅資產	154360	1.07	164372	1.17	185251	1.32		
其他非流動資產	93379	0.65	82319	0.59	60127	0.43		
非流動資產合計	11759805	81.46	11423789	81.47	11445989	81.45		
資產總額	14436258	100.00	14021710	100.00	14052221	100.00		
流動負債								
短期借款	1111870	7.70	888612	6.34	1405655	10.00		
合約負債－流動	10578	0.07	15209	0.11	8226	0.06		
應付票據	90607	0.63	89151	0.64	87904	0.63		
應付票據－關係人	6168	0.04	3830	0.03	7813	0.06		
應付帳款	78413	0.54	87718	0.63	142635	1.02		
應付帳款－關係人	639391	4.43	604052	4.31	473960	3.37		
其他應付款	468049	3.24	463349	3.30	528942	3.76		
本期所得稅負債	19168	0.13	11744	0.08	17177	0.12		
負債準備－流動	28354	0.20	27758	0.20	26490	0.19		
租賃負債－流動	19054	0.13	17365	0.12	17467	0.12		
其他流動負債	464776	3.22	435490	3.11	498362	3.55		
流動負債合計	2936428	20.34	2644278	18.86	3214631	22.88		
非流動負債								
長期借款	3449412	23.89	3575502	25.50	3020883	21.50		
遞延所得稅負債	142565	0.99	142392	1.02	143217	1.02		
租賃負債－非流動	41101	0.28	41145	0.29	34886	0.25		
其他非流動負債	51897	0.36	53902	0.38	61665	0.44		
非流動負債合計	3684975	25.53	3812941	27.19	3260651	23.20		
負債總額	6621403	45.87	6457219	46.05	6475282	46.08		
歸屬於母公司業主之權益								
股本								
普通股股本	4945134	34.25	4945134	35.27	4945134	35.19		
股本合計	4945134	34.25	4945134	35.27	4945134	35.19		
資本公積								
資本公積合計	268144	1.86	268144	1.91	269175	1.92		
保留盈餘								
法定盈餘公積	114720	0.79	114720	0.82	83884	0.60		
特別盈餘公積	789030	5.47	789030	5.63	763705	5.43		
未分配盈餘（或待彌補虧損）	227194	1.57	261834	1.87	190712	1.36		
保留盈餘合計	1130944	7.83	1165584	8.31	1038301	7.39		
其他權益								
其他權益合計	693216	4.80	420448	3.00	554321	3.94		
歸屬於母公司業主之權益合計	7037438	48.75	6799310	48.49	6806931	48.44		
非控制權益	777417	5.39	765181	5.46	770008	5.48		
權益總額	7814855	54.13	7564491	53.95	7576939	53.92		
負債及權益總計	14436258	100.00	14021710	100.00	14052221	100.00		
待註銷股本股數（單位：股）	0		0		0			
預收股款（權益項下）之約當發行股數（單位：股）	0		0		0			
母公司暨子公司所持有之母公司庫藏股股數（單位：股）	0		0		0			
