民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季,民國113年第1季
單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
會計項目,113年01月01日至113年03月31日,113年01月01日至113年03月31日,112年01月01日至112年03月31日,112年01月01日至112年03月31日,Unnamed: 5_level_2
Unnamed: 0_level_3,金額,%,金額,%,Unnamed: 5_level_3
銷貨收入淨額,2755715.0,100.0,2649807.0,100.0,
營業收入合計,2755715.0,100.0,2649807.0,100.0,
營業成本合計,2360581.0,85.66,2358855.0,89.02,
營業毛利（毛損）,395134.0,14.34,290952.0,10.98,
未實現銷貨（損）益,357.0,0.01,548.0,0.02,
已實現銷貨（損）益,278.0,0.01,403.0,0.02,
營業毛利（毛損）淨額,395055.0,14.34,290807.0,10.97,
營業費用,,,,,
推銷費用,214604.0,7.79,271497.0,10.25,
管理費用,70550.0,2.56,125880.0,4.75,
預期信用減損損失（利益）,-275.0,-0.01,994.0,0.04,
營業費用合計,284879.0,10.34,398371.0,15.03,
營業利益（損失）,110176.0,4.0,-107564.0,-4.06,
營業外收入及支出,,,,,
利息收入,8942.0,0.32,2302.0,0.09,
其他利益及損失淨額,48551.0,1.76,30116.0,1.14,
財務成本淨額,538.0,0.02,6148.0,0.23,
採用權益法認列之關聯企業及合資損益之份額淨額,13729.0,0.5,11389.0,0.43,
營業外收入及支出合計,70684.0,2.56,37659.0,1.42,
稅前淨利（淨損）,180860.0,6.56,-69905.0,-2.64,
所得稅費用（利益）合計,25286.0,0.92,0.0,0.0,
繼續營業單位本期淨利（淨損）,155574.0,5.65,-69905.0,-2.64,
本期淨利（淨損）,155574.0,5.65,-69905.0,-2.64,
其他綜合損益(淨額),,,,,
透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,-4720.0,-0.17,104990.0,3.96,
不重分類至損益之項目：,-4720.0,-0.17,104990.0,3.96,
國外營運機構財務報表換算之兌換差額,9618.0,0.35,2.0,0.0,
後續可能重分類至損益之項目：,9618.0,0.35,2.0,0.0,
其他綜合損益（淨額）,4898.0,0.18,104992.0,3.96,
本期綜合損益總額,160472.0,5.82,35087.0,1.32,
淨利（損）歸屬於：,,,,,
母公司業主（淨利∕損）,155451.0,5.64,-69949.0,-2.64,
非控制權益（淨利∕損）,123.0,0.0,44.0,0.0,
母公司業主（綜合損益）,160371.0,5.82,35031.0,1.32,
非控制權益（綜合損益）,101.0,0.0,56.0,0.0,
基本每股盈餘,,,,,
基本每股盈餘,0.32,,-0.14,,
稀釋每股盈餘,,,,,
稀釋每股盈餘,0.32,,-0.14,,
