標題,連結,內文,來源,時間
暴雨釀災 美東北部水患肆虐 | 外媒解析 | 國際,https://news.google.com/read/CBMiXEFVX3lxTE5hZ0k3emNyWEZCVWtwRFJfeTBfcXY5TTlRbExWcUgwZldBbl9rTmZmS2ItSm5vcVFnNHlwR2g2cWRCb0lHTk4yaXA2MlRBV1QtcUVkR2tBODFncHBt?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"美東北地區相距僅56公里的兩個地方，在12小時內出現了千年一見的降雨量，這種事每年的發生機率為0.1%…





美國氣候災害不斷，除了全國破紀錄高溫、西部野火肆虐之外，另一個氣候造成的危害—極端降雨，正在衝擊美國東北地區，科學家表示，氣候變遷會讓情況更為惡化，將在數百萬人尚未做好準備的東北地區，釀成更多水患。",經濟日報,2024-09-28
尼泊爾暴雨引發洪災土石流 釀151死56失蹤,https://news.google.com/read/CBMiZkFVX3lxTE03bjdOZV82R0NqTlRveWdacUpyZGprOC1XaFE0U2RwNHlaMjN2RUIxcHNrenBtTUNxUVdDYTBBTFBvdThsM0ZmcmpyM2UtLU14TTZQN3gyYXFIWEZWLTVBSVowTWNVQdIBa0FVX3lxTFBub1FWemNCYlRpSzEzRzVoNFdaTmljZjFZRlVlSzZtcDFKQi1CRHRmeGpmZ0ZDMkp1ZnBzd05uOXN1MkZ4dnVXN284V3hTS0hfajlyUnN2UjJjeDJHUUlIbldUMGlkRWhIQ1dN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


尼泊爾暴雨引發洪災和土石流，造成151人死亡、56人失蹤。圖為巴士遭土石流沖走後的搜救行動。（歐新社）
李欣潔／核稿編輯
〔即時新聞／綜合報導〕尼泊爾連日暴雨引發洪災和土石流，截至29日為止一共造成151人死亡、56人失蹤，各災區的學校受此影響已停課3天，由於建物受損需要整修，何時能夠恢復上課尚不清楚。
據《路透》報導，尼泊爾首都加德滿都部分地區降雨量達322.2毫米，巴格馬蒂河水位上升2.2公尺超過了警戒線，光是當地就有37人罹難，所幸降雨狀況在29日有減緩跡象。
請繼續往下閱讀...

不過，由於雨勢帶來了洪水、山體滑坡，導致不少災情出現，在通往加德滿都的道路上，有2輛巴士遭土石流掩埋，救援人員已挖掘出16名乘客的遺體。
尼泊爾此次暴雨是受到孟加拉灣低氣壓的影響，在土地開發不當的狀況下造成嚴重災情，例如缺乏洪氾區和蓄水區的規劃、侵入巴格馬蒂河道導致水流受阻等等。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法
2027 年恐爆發美中戰爭？ 美海軍祭出「33 號計畫」備戰
以軍擊殺真主黨領袖 美參議員：使用美製「Mark 84」炸彈

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,2024-09-30
暴雨釀災 美東北部水患肆虐 | 外媒解析 | 國際,https://news.google.com/read/CBMiXEFVX3lxTE5hZ0k3emNyWEZCVWtwRFJfeTBfcXY5TTlRbExWcUgwZldBbl9rTmZmS2ItSm5vcVFnNHlwR2g2cWRCb0lHTk4yaXA2MlRBV1QtcUVkR2tBODFncHBt?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"美東北地區相距僅56公里的兩個地方，在12小時內出現了千年一見的降雨量，這種事每年的發生機率為0.1%…





美國氣候災害不斷，除了全國破紀錄高溫、西部野火肆虐之外，另一個氣候造成的危害—極端降雨，正在衝擊美國東北地區，科學家表示，氣候變遷會讓情況更為惡化，將在數百萬人尚未做好準備的東北地區，釀成更多水患。",經濟日報,2024-09-28
尼泊爾暴雨引發洪災土石流 釀151死56失蹤,https://news.google.com/read/CBMiZkFVX3lxTE03bjdOZV82R0NqTlRveWdacUpyZGprOC1XaFE0U2RwNHlaMjN2RUIxcHNrenBtTUNxUVdDYTBBTFBvdThsM0ZmcmpyM2UtLU14TTZQN3gyYXFIWEZWLTVBSVowTWNVQdIBa0FVX3lxTFBub1FWemNCYlRpSzEzRzVoNFdaTmljZjFZRlVlSzZtcDFKQi1CRHRmeGpmZ0ZDMkp1ZnBzd05uOXN1MkZ4dnVXN284V3hTS0hfajlyUnN2UjJjeDJHUUlIbldUMGlkRWhIQ1dN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


尼泊爾暴雨引發洪災和土石流，造成151人死亡、56人失蹤。圖為巴士遭土石流沖走後的搜救行動。（歐新社）
李欣潔／核稿編輯
〔即時新聞／綜合報導〕尼泊爾連日暴雨引發洪災和土石流，截至29日為止一共造成151人死亡、56人失蹤，各災區的學校受此影響已停課3天，由於建物受損需要整修，何時能夠恢復上課尚不清楚。
據《路透》報導，尼泊爾首都加德滿都部分地區降雨量達322.2毫米，巴格馬蒂河水位上升2.2公尺超過了警戒線，光是當地就有37人罹難，所幸降雨狀況在29日有減緩跡象。
請繼續往下閱讀...

不過，由於雨勢帶來了洪水、山體滑坡，導致不少災情出現，在通往加德滿都的道路上，有2輛巴士遭土石流掩埋，救援人員已挖掘出16名乘客的遺體。
尼泊爾此次暴雨是受到孟加拉灣低氣壓的影響，在土地開發不當的狀況下造成嚴重災情，例如缺乏洪氾區和蓄水區的規劃、侵入巴格馬蒂河道導致水流受阻等等。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法
2027 年恐爆發美中戰爭？ 美海軍祭出「33 號計畫」備戰
以軍擊殺真主黨領袖 美參議員：使用美製「Mark 84」炸彈

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,2024-09-30
美國洪災現末日景象？颶風海倫狂襲59死 官員驚恐「聖經洪水來襲」,https://news.google.com/read/CBMiWkFVX3lxTE9JOElfTHVVQTRFR2ZvN3lBenJHZTlpTXhEUWlZX3VISTdPbVk5WFZOYWZISVp0T3Q4NXBiR0JROVpYUUtBSjNuek0zVkRDYjEwS3R4UDh2dG9MZ9IBX0FVX3lxTFBQaTdKSzUwam1QWGZSd092VDVfNDNGNE1RaTk2NlJZamN2Z0hjVGltYkYwN1BLMm5URW12YW1PbTlzclJXVUU4bGR4UDJfWDhhdF9WNXNUbVZMTHRWSE44?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"颶風海倫在美國時間26日晚間自佛羅里達州大灣區登陸，強風豪雨造成東南部多地洪災氾濫，截至28日死亡人數已經增加到59人，目前高達310萬戶電力中斷，地方緊急單位官員直呼「聖經洪水來襲」。

美國有線電視新聞網（CNN）報導，目前海倫已經從颶風等級減弱為時速35英里的後熱帶氣旋，儘管如此，其威力依舊造成東南部多地傳出災情，包含南卡羅來納、喬治亞、佛羅里達、北卡與維吉尼亞州共有至少59人罹難，而南卡最為嚴重，最近一次統計至少19人喪生，其中包含2名救災消防員。



美國國家氣象局在南卡格林維爾–史帕坦堡（Greenville-Spartanburg）辦公室28日表示，這是當地有史以來遇到最嚴重的災情。



北卡交通局28日表示，目前有超過400條道路因淹水或土石流維持封鎖。



另外，根據美國電力中斷網站（ PowerOutage.us），截至28日在南卡、喬治亞、北卡、佛羅里達與俄亥俄有超過310萬戶停電。



華盛頓郵報報導，北卡城鎮一夜之間面目全非，洪水泥濘將房屋連根拔起，土石流和暴漲河水切斷山區聯外道路。



氣象學家發出警告，洪水的威脅尚未結束。水壩瀕臨潰壩邊緣，迫使居民逃到地勢較高區域。邦坎郡（Buncombe County）緊急服務助理主任柯爾（Ryan Cole）說，「全郡遭遇到像聖經中描述的破壞」，直呼「當地遭遇聖經所述洪水侵襲」。

北卡州長庫柏（Roy Cooper）說，部分地區遭遇史上最嚴重洪災。
",經濟日報,2024-09-29
影／電動車主慎防淹水！特斯拉泡水起火畫面曝 1分鐘吞噬 | 國際焦點 | 國際,https://news.google.com/read/CBMie0FVX3lxTE9HT2ctQkpLUUdDLWxtLVVPZ1JmRFl3bWFkLTJzMGdHVGJpOEFSNHBJOW1hS1VCZ0RVZjNSSmFSQy1oeGRDckNkUFo4eUxrYVpFdVVGVkF1VEdMeGd6WVc0bFdVRVA2X1ZjZk82MmVwLXAyNE95QjFSNzR3UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"颶風海倫上周登陸佛羅里達州陸續肆虐美國東南部，迄今造成將近百人喪生，強風豪雨更導致多地洪水氾濫；佛州皮尼拉斯郡（Pinellas）28日發布一段特斯拉泡水後起火的可怕畫面，警示電動車車主面對可能災害切記採取防措施。



紐約時報報導，颶風海倫重創佛羅里達、喬治亞、北卡、南卡、田納西與維吉尼亞等州，目前至少有超過90人罹難，許多人溺水身亡，另有一些人因樹木倒塌、暴雨發生車禍以及風暴引發的龍捲風喪命。許多受害者尚未被確認身份。



紐約郵報報導，佛州皮尼拉斯郡當局日前發表一段影片，海倫導致當地淹水，畫面中一輛停放在車庫的特斯拉，底盤泡在淹水鹽水中竟起火，火勢從底部迅速往上蔓延，在不到一分鐘內將整輛車完全吞噬。影片中，車庫堆滿雜物，濃煙快速充滿整個房間。



當局官員在社群分享影片，目的是提醒電動車車主慎防鹽水水災，並且及早採取預防措施，包含將電動車移到距離任何可燃材料50英尺（約15公尺）之外。



另外，當局亦建議經歷水災後，將汽車拖到經銷商進行檢查後再重新駕駛。

https://reurl.cc/yvl75E
",經濟日報,2024-09-30
金正恩視察洪水災區 下令盡速重建,https://news.google.com/read/CBMid0FVX3lxTE5xeE1PeDR5NnRINWprT2tkdndNYzRhRXVsdk5qbFVtend1SksybEZfMDVKX3l5V1h5OXA1RE81TE1pckZEREdSUWZfTGFZMnlQeENJZXloZTdBcUxUX082ZmFTcnFTZ2lnS19XWnhiUzdaSUZRNEFZ0gFfQVVfeXFMTjZvVkxNS3R6a09iWlNsc1oxYWdMb0k1Q1hQaWlFM0l4WDNfdWhvV0NNem5IdDRPRjhZbHdOYVNLWEVFLVJOYUYwemhLa2VpMGV4WGdfTERrai1oM04xM2s?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"北韓官方媒體中央通信社（KCNA）今天報導，領導人金正恩視察洪水災區，下令迅速採取行動重建家園。
法新社報導，北韓7月下旬降下創紀錄的暴雨，鄰近中國的北部地區房屋和大片農田被洪水淹沒，死亡人數不明。
在家園重建的同時，數以千計流離失所的洪水受災戶先被安置在平壤的數個設施中。
根據中央通信社報導，金正恩在視察施工現場時，要求工人「盡可能加快動作，好減輕洪水受災戶的痛苦」。
中央通信社的照片顯示，金正恩走過泥濘的工地，並在部分建成的建築物前與官員交談。
這是他第3次造訪洪水災區，先前他露面時，被拍到開著豪華轎車涉水前往災區，還有搭乘橡皮艇，抱著小孩子的視察畫面。
自從水患消息傳出，國際社會紛紛伸出援手，其中包括南韓，儘管兩國關係緊張，但仍透過紅十字會提供援助。
俄羅斯總統蒲亭（Vladimir Putin）也提供「立即人道主義支持」，協助北韓重建。
根據中央通信社報導，金正恩感謝外國提供的協助，但拒絕接受任何外援。他說，北韓將「完全自力」進行重建。",經濟日報,2024-09-30
影／女駕駛差點滅頂！福斯記者中斷連線 涉水救人畫面曝光,https://news.google.com/read/CBMiWkFVX3lxTE1yREpJQ2FhcTFmaTZCVnoxY3NPWTB1Rk5ZUEdzMUdTWWZHN3BNaVo0Y1d5NTVzU2FkYW1Zck92MHRPcHhhYXZQd0RlRnAtSVctWjdOLWd0Q2ozQdIBX0FVX3lxTE1CV0dqdGdRQ3owc3RqUnpnZWp6Wk0yT0otNEh4djc3ZGg1WXpEWS10blB6TTkxQTlicFhLOHo3c3M0UTBnRFRReTYwVVp0S3JPX285b2NKNlpkWEtkcDVB?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"美聯社報導，颶風海倫強襲美國東南部，連續豪雨造成多地洪災氾濫，福斯電視台（FOX）一名氣象記者27日在亞特蘭大報導即時災情時，驚見一名女子受困車內，緊急中斷直播現場，義無反顧涉水救出差點滅頂的女子。



福斯電視台氣象記者狄倫（Bob Van Dillen）27日在喬治亞州亞特蘭大進行即時連線，意外發現一名女性駕駛因不小心開進淹水區域，整輛汽車快要淹沒，當時還在車內的女子大聲呼救、幾乎滅頂。狄倫趕忙撥打911緊急電話，並且回應女子很快會獲救。

隨後，狄倫對鏡頭表示，「現在發生狀況了，我們稍後回來，我要去看看能不能幫上這位女士」，接著畫面可見狄倫揹著女子涉水回到安全的地方

狄倫事後受訪描述，他先將褲子口袋的錢包拿出來，然後走進淹水區，發現水深及胸，「她還被困在車子裡，而水位也不斷上升到車子高度，她在車裡幾乎被淹到脖子處」。

狄倫清楚自己有報導新聞的專業責任，但考慮到水位不斷上升，且不清楚緊急人員何時抵達，面對他人生命受到潛在威脅，他認為應該挺身而出救人。



YT影片連結：https://www.youtube.com/watch?v=8G7IvF90Syg
",經濟日報,2024-09-28
颶風海倫肆虐美國東南部 至少93死、數百失蹤 空拍看災後家園 小鎮成孤島,https://news.google.com/read/CBMiwwNBVV95cUxOaEtHSDMyeU1ZT2V3ZFZZZHN2aURjVk5RRXJtUU5SZTlQcW5UWmNJWlZYWXU5XzNSVDFNdlFaSUFnUUs2UGVhZHdEc1ZMQWdkTTdROS00QmlvV3F5ZHVOQ0M5R01rUlJPcUpKbXNQVWhjOXpkU1k4T2FXTV9KZU9EeFluaXNZckFhMHFiNVZrNWxrY19SdGEzaS0yLW1qV05nQlNBbGZ5UzdOeEhhRUVLZTN1RkpicUxaNzJVRExXb3lnX2piRmtial9YZXNTbUY1dXFUMjFkMmVpei1HaWh6NmliX2pDZ1BRS29LOEhXRm5SZVBfMl9DdGNwQXhGV0Rhb1NfeExjaXJoV19VUFR0bGJOeWxYZmwyN2o0X0o3NXlnSFE5MjZncUJPWGNaTDFWc09qMXZuWm56RHZLeUg2RmQ4eWpsQUVwV2I0bGpxTWVYWXVLQUR6TEdXR2RXbDJJWDFMYmYwZ0VQRkFfUE90VU1SZkdXeUl2S09XWmcyOUtQY2RVOEs5eW9lejhQemhNbzNCYzA5NDJIYVVrUFlxWlBCTjFYeHh6TlBEb3ZKQ0NoWDlwc09tUFV2emYtb0huZmNJ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"颶風海倫（Hurricane Helene）肆虐美國東南部，截至9月30日至少93死，光是北卡羅來納州就通報約600人失蹤，隨著救災行動持續進行中，官員擔心死亡人數恐再上升。佛羅里達州空拍畫面顯示，架高的屋舍被嚴重破壞，部分房屋幾成廢墟；北卡的艾西維爾（Asheville）小鎮成為一片汪洋，黃色的泥水淹沒道路、社區，交通、電力、通信等中斷，也讓該地形同「孤島」。
車輛泡在泥水中，民眾甚至嘗試從水流中拯救家具。北卡至少300條道路關閉，而西部道路目前全數封鎖，估計修復需花數月，與喬治亞州一起宣布進入「公共衛生緊急狀態」。美國能源部表示，至29日仍有270萬戶無電可用。
海倫持續帶來雨勢，雖然不至於加重當前的淹水災情，但會讓土壤含水過多，地表逕流增加。私人氣象預報服務公司AccuWeather氣象專家評估，海倫造成的災損估計在950億美元至1100億美元（約新台幣3兆元到3.4兆元）之間，可能是美國史上損害最嚴重的風災之一。",Yahoo奇摩新聞,2024-09-30
強烈颶風登陸佛州 美400萬戶停電,https://news.google.com/read/CBMiXEFVX3lxTE1faW5RUUFTMGJNdVVlaS1WclF1bmpuTURpZ2NhbmpWcEctRUFJd2FxZWd5d0FrRnZQelZiWGt6ZDI4cWw2VGFYRFRWdXZsYzdMSnhGcEVobkJtNlh30gFiQVVfeXFMTTMxdl9jMFViUWU0TTc4SFF4LWh4aXhqVWw4MzZCM2xlWGpMaklta0VVSWMtbDNWUjBMa1l4b1BEMWU5bDcxNC1aczVSZ1VSbUxmRC1laXliWHFua0VPa2xIM2c?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


佛州薩尼貝爾島外海一艘小船翻覆，海岸防衛隊出動直升機救援船主與狗。（路透）
四級強烈颶風「海倫」26日晚間登陸美國佛州西北部，最大持續風速達每小時225公里，經一夜肆虐，27日進入喬治亞州時降級為熱帶風暴，但氣象當局持續警告狂風暴雨恐釀嚴重災害。據初步統計，颶風在佛州、喬治亞州、南卡羅來納州、北卡羅來納州已造成7人死亡、近400萬戶停電。（路透）
佛州沿海小鎮斯坦哈奇的淹水情況，當地居民稱未見過如此嚴重的洪水。（法新社）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,2024-09-28
